question,user_option,correct_option,explanation
An ideal gas undergoes an adiabatic expansion. Which of the following statements best justifies the change in its temperature?,"B) The temperature decreases because the gas does positive work, converting some of its internal energy into mechanical work without heat exchange.","B) The temperature decreases because the gas does positive work, converting some of its internal energy into mechanical work without heat exchange.","For an adiabatic process, there is no heat exchange (Q=0). According to the First Law of Thermodynamics, ΔU = Q - W. If Q=0, then ΔU = -W. When a gas undergoes an expansion, it does positive work (W > 0). Therefore, ΔU must be negative, meaning the internal energy of the gas decreases. For an ideal gas, internal energy is directly proportional to its absolute temperature, so a decrease in internal energy implies a decrease in temperature."
"For a gas undergoing a cyclic process represented on a PV diagram, which statement correctly derives and justifies the net work done by the gas?","A) The net work is the area enclosed by the cycle on the PV diagram. This is because work is the integral of P dV, and for a cycle, the integral over the compression path (negative work) subtracts from the integral over the expansion path (positive work).","A) The net work is the area enclosed by the cycle on the PV diagram. This is because work is the integral of P dV, and for a cycle, the integral over the compression path (negative work) subtracts from the integral over the expansion path (positive work).","Work done by a gas is given by the integral of P dV, which corresponds to the area under the curve on a PV diagram. During expansion, volume increases, so the work done by the gas is positive. During compression, volume decreases, so the work done by the gas is negative. In a cyclic process, the gas expands and then compresses to return to its initial state. The net work done over a complete cycle is the difference between the work done during expansion and the work done during compression, which is precisely the area enclosed by the cycle on the PV diagram."
"Justify why a heat engine operating between a high-temperature reservoir and a low-temperature reservoir can never achieve an efficiency of 100%, even if it is an ideal Carnot engine.",C) A 100% efficient engine would violate the conservation of energy (First Law of Thermodynamics) because its work output would exceed its heat input.,"B) According to the Second Law of Thermodynamics, some heat must always be rejected to the cold reservoir to allow the engine to complete a cycle and return to its initial state, preventing 100% conversion of heat to work.","The Second Law of Thermodynamics (specifically the Kelvin-Planck statement) dictates that it is impossible to construct a heat engine that operates in a cycle and produces no effect other than the extraction of heat from a single thermal reservoir and the production of an equivalent amount of work. This means that for a heat engine to complete a cycle, some amount of heat must always be rejected to a colder reservoir. Therefore, not all the heat absorbed from the hot reservoir can be converted into useful work, making 100% efficiency unattainable."
"An ideal gas is contained in a rigid, sealed vessel. If the absolute temperature of the gas is doubled, justify how the pressure of the gas changes.","D) The pressure halves because increased temperature leads to increased molecular speed, causing molecules to spend less time near the walls, thus reducing collisions.","B) The pressure doubles because, at constant volume and number of moles, pressure is directly proportional to absolute temperature according to the Ideal Gas Law (PV=nRT).","The Ideal Gas Law is PV = nRT. For a rigid, sealed vessel, both the volume (V) and the number of moles of gas (n) are constant. R is the ideal gas constant. Therefore, the pressure (P) is directly proportional to the absolute temperature (T) (P ∝ T). If the absolute temperature of the gas is doubled, the pressure of the gas will also double."
"An ideal gas undergoes an isobaric expansion, meaning its pressure remains constant while its volume increases. Justify the relationship between the heat added to the gas (Q), the change in its internal energy (ΔU), and the work done by the gas (W) during this process.","B) Q = ΔU, because at constant pressure, the change in internal energy accounts for all energy changes.","C) Q = ΔU + W, where W = PΔV. This is because, according to the First Law of Thermodynamics, the heat added must contribute to both increasing the internal energy of the gas and performing work against the constant external pressure.","The First Law of Thermodynamics states that the change in internal energy of a system is equal to the heat added to the system minus the work done by the system (ΔU = Q - W). Rearranging this equation gives Q = ΔU + W. For an isobaric process, the work done by the gas is W = PΔV. Thus, the heat added (Q) contributes to both the change in the internal energy (ΔU) of the gas and the work (W) done by the gas as it expands against a constant external pressure."
A sample of ideal gas undergoes an isothermal expansion. Which of the following statements best justifies the relationship between the heat absorbed (Q) by the gas and the work done (W) by the gas during this process?,"A) Since the temperature is constant, the internal energy change is zero, meaning Q = -W.","A) Since the temperature is constant, the internal energy change is zero, meaning Q = -W.","For an ideal gas, internal energy (U) depends only on its absolute temperature (T). In an isothermal process, the temperature remains constant (ΔT = 0), which means the change in internal energy (ΔU) is zero. According to the First Law of Thermodynamics, ΔU = Q + W, where Q is the heat added to the system and W is the work done *on* the system. If ΔU = 0, then 0 = Q + W, which implies Q = -W. This means that any heat absorbed by the gas is completely converted into work done *by* the gas (or vice versa), maintaining a constant internal energy and temperature. Since it's an expansion, work is done *by* the gas, so W (work *on* gas) is negative, meaning Q must be positive (heat absorbed)."
"A gas is taken from state X to state Y along a curved path on a PV diagram, where state X is at a higher pressure and lower volume than state Y. Which of the following justifies the amount and sign of work done by the gas during this process?","B) The work done is positive and equal to the area enclosed by the path and the volume axis, as the volume increases.","D) The work done is positive because the volume increases, and is represented by the area under the curve from X to Y to the volume axis.","Work done by a gas during a thermodynamic process is represented by the area under its path on a PV diagram. If the volume of the gas increases (expansion), the work done *by* the gas is positive. If the volume decreases (compression), the work done *by* the gas is negative. In this scenario, the gas goes from a lower volume (X) to a higher volume (Y), indicating an expansion. Therefore, the work done by the gas is positive, and its magnitude is precisely the area under the curve on the PV diagram, projected down to the volume axis."
"According to the kinetic theory of gases, if the absolute temperature of an ideal gas is doubled, how does this affect the average translational kinetic energy of the gas molecules, and why?","D) The average translational kinetic energy halves because doubling the temperature means molecules move faster and collide more frequently, dissipating energy.",C) The average translational kinetic energy doubles because it is directly proportional to the absolute temperature.,"The kinetic theory of ideal gases states that the average translational kinetic energy of the gas molecules is directly proportional to the absolute temperature of the gas. The relationship is given by KE_avg = (3/2)kT, where k is the Boltzmann constant. Therefore, if the absolute temperature (T) is doubled, the average translational kinetic energy (KE_avg) of the gas molecules will also double. This increased kinetic energy reflects faster average motion of the molecules."
An ideal gas undergoes an adiabatic compression. Which of the following statements best derives the change in the internal energy of the gas during this process?,"A) Since no heat is exchanged (Q=0) and work is done *on* the gas (W is positive), the internal energy decreases.","D) Since no heat is exchanged (Q=0) and work is done *on* the gas (W is positive), the internal energy increases, as dictated by ΔU = Q + W.","An adiabatic process is defined by no heat exchange with the surroundings, so Q = 0. According to the First Law of Thermodynamics, ΔU = Q + W, where W is the work done *on* the system. In an adiabatic compression, work is done *on* the gas by an external force, which means W is positive. Substituting Q=0 and W>0 into the First Law gives ΔU = 0 + W, so ΔU = W. Since W is positive, the internal energy (ΔU) of the gas increases. This increase in internal energy also leads to an increase in the gas's temperature."
A reversible heat engine operates between a high-temperature reservoir at T_H and a low-temperature reservoir at T_C. Which of the following best justifies why its maximum possible efficiency is less than 100%?,"C) The internal energy of the working substance must change during the cycle, requiring some energy input that isn't converted to work.","B) According to the Second Law of Thermodynamics, it is impossible for any heat engine to convert all absorbed heat into useful work; some heat must always be exhausted to the cold reservoir to complete the cycle.","The Second Law of Thermodynamics, specifically the Kelvin-Planck statement, dictates that it is impossible to construct a heat engine that operates in a cycle and produces no effect other than the extraction of heat from a single reservoir and the performance of an equivalent amount of work. In simpler terms, a heat engine must always reject some heat to a cold reservoir to complete its cycle and return to its initial state. This fundamental limitation means that not all the heat absorbed from the hot reservoir can be converted into useful work, thus making 100% efficiency impossible for any heat engine, even an ideal (Carnot) one."
"A positively charged particle enters a uniform magnetic field, moving parallel to the magnetic field lines. Which of the following statements correctly describes the magnetic force on the particle?",A) The particle will experience a magnetic force perpendicular to both its velocity and the magnetic field.,C) The particle will experience no magnetic force.,"The magnetic force on a charged particle is given by the Lorentz force equation, F = qvBsinθ, where q is the charge, v is the velocity, B is the magnetic field strength, and θ is the angle between the velocity vector and the magnetic field vector. If the particle is moving parallel to the magnetic field lines, the angle θ is 0 degrees (or 180 degrees if anti-parallel). Since sin(0°) = 0, the magnetic force F will be zero. Therefore, the particle experiences no magnetic force."
"Consider a long, straight wire carrying a steady current *I*. If the current is doubled (2*I*) and the distance from the wire where the magnetic field is measured is also doubled (2*r*), what happens to the magnitude of the magnetic field *B* at that point?",C) The magnetic field remains the same.,C) The magnetic field remains the same.,"The magnitude of the magnetic field produced by a long, straight current-carrying wire is given by the formula B = (μ₀I) / (2πr), where μ₀ is the permeability of free space, I is the current, and r is the perpendicular distance from the wire. 
If the current I is doubled (2I) and the distance r is also doubled (2r), the new magnetic field B' will be B' = (μ₀(2I)) / (2π(2r)). 
Simplifying this expression, B' = (2μ₀I) / (4πr) = (μ₀I) / (2πr). 
This shows that B' is equal to the original magnetic field B. Therefore, the magnetic field remains the same."
"A circular loop of wire is placed in a region of uniform magnetic field directed out of the page. If the magnetic field strength is *increasing* with time, what is the direction of the induced current in the loop, and why?","A) Clockwise, to create a magnetic field pointing into the page and oppose the increase in flux.","A) Clockwise, to create a magnetic field pointing into the page and oppose the increase in flux.","According to Faraday's Law of Induction and Lenz's Law, an induced current will flow in a direction that opposes the change in magnetic flux. The magnetic field is directed out of the page, and its strength is increasing. This means the magnetic flux out of the page is increasing. To oppose this increase, the induced current must create its own magnetic field directed *into* the page. Using the right-hand rule for a current loop (curl fingers in the direction of current, thumb points in the direction of the magnetic field created), a clockwise current will produce a magnetic field directed into the page. Thus, the induced current is clockwise to oppose the increasing outward magnetic flux."
"A conducting rod of length *L* moves at a constant velocity *v* perpendicular to a uniform magnetic field *B*. If the length of the rod is tripled (3*L*), the velocity is halved (*v*/2), and the magnetic field strength is doubled (2*B*), how does the induced electromotive force (EMF) across the rod change?",C) The induced EMF is 12 times larger.,A) The induced EMF is 3 times larger.,"The motional EMF induced across a conducting rod moving perpendicular to a uniform magnetic field is given by the formula EMF = BLv. 
Let the original EMF be EMF_original = BLv. 
Now, we change the parameters: L' = 3L, v' = v/2, and B' = 2B. 
The new induced EMF' will be EMF' = B'L'v'. 
Substitute the new values: EMF' = (2B)(3L)(v/2). 
EMF' = (2 * 3 / 2) * (BLv). 
EMF' = 3 * (BLv). 
Therefore, EMF' = 3 * EMF_original. The induced EMF is 3 times larger."
"A straight wire segment carrying current *I* is placed in a uniform magnetic field *B*. The wire is oriented such that the current flows directly perpendicular to the magnetic field lines. If the current direction is reversed, how does the magnetic force on the wire change?","A) The magnitude of the force remains the same, and its direction reverses.","A) The magnitude of the force remains the same, and its direction reverses.","The magnetic force on a current-carrying wire is given by F = I(L x B), or in magnitude, F = ILBsinθ, where I is the current, L is the length of the wire segment, B is the magnetic field strength, and θ is the angle between the current direction and the magnetic field. Since the current is perpendicular to the field, sinθ = sin(90°) = 1, so the magnitude of the force is F = ILB. 
If the current direction is reversed, the magnitude of the current I remains the same, and thus the magnitude of the force (ILB) remains unchanged. 
However, the direction of the force is determined by the right-hand rule (or the cross product L x B). Reversing the direction of the current vector (L) reverses the direction of the force vector. For example, if the initial force was upwards, reversing the current would make the force downwards. Therefore, the magnitude of the force remains the same, but its direction reverses."
